Título,Autores,Año,Journal,DOI,URL,Fuente
Multimodal Cardiac Imaging Revisited by Artificial Intelligence: An Innovative Way of Assessment or Just an Aid?,"Marlon E Rivera Boadla, Nava R Sharma, Jeffy Varghese, Saral Lamichhane, Muhammad H Khan, Amit Gulati, Sakshi Khurana, Samuel Tan, Anupam Sharma",2024,Cureus,10.7759/cureus.64272,https://www.semanticscholar.org/paper/79f7053fe02029e96ca35dcee3c5302cbe3661b8,Semantic Scholar
The Impact of Artificial Intelligence on Cardiovascular Disease Diagnosis: A Review,"Ifra Chaudhary, Hassan Anwar",2024,Pakistan Journal of Medical and Health Sciences,10.53350/pjmhs0202317118,https://www.semanticscholar.org/paper/a4e96e2247ad9801749c739d6004da11ee9f9502,Semantic Scholar
"A Review on Artificial Intelligence and Quantum Machine Learning for Heart Disease Diagnosis: Current Techniques, Challenges and Issues, Recent Developments, and Future Directions","Huda Ghazi Enad, M. A. Mohammed",2023,Fusion: Practice and Applications,10.54216/fpa.110101,https://www.semanticscholar.org/paper/72867aa1819826443e069343ae6303123e966f52,Semantic Scholar
AI-Assisted Medical Imaging and Heart Disease Diagnosis: A Deep Learning Approach for Automated Analysis and Enhanced Prediction Using Ensemble Classifiers,"Nidadavolu Venkat DURGA SAI SIVA VARA PRASAD RAJU, Penmetsa Naveena Devi",2024,Journal of Artificial Intelligence General science (JAIGS) ISSN:3006-4023,10.60087/jaigs.v6i1.242,https://www.semanticscholar.org/paper/599567cdc5952e5d704cae379ee6df6394a70fc1,Semantic Scholar
Ensembled Deep Learning Technique for Cardiovascular Disease Detection: A CNN-GRU Approach,"Tanishq Soni, Deepali Dupta, Mudita Uppal",2024,2024 IEEE 3rd World Conference on Applied Intelligence and Computing (AIC),10.1109/AIC61668.2024.10730954,https://www.semanticscholar.org/paper/ca0e51859dcf9738817eaf00ca792f11032fab81,Semantic Scholar
Research Progress of Machine Learning and Deep Learning in Intelligent Diagnosis of the Coronary Atherosclerotic Heart Disease,"Haoxuan Lu, Yudong Yao, Li Wang, Jianing Yan, Shuangshuang Tu, Yanqing Xie, Wenming He",2022,Computational and Mathematical Methods in Medicine,10.1155/2022/3016532,https://www.semanticscholar.org/paper/479ca536fecefcf3b6229a8d1518381224d91ffb,Semantic Scholar
Artificial Intelligence in Cardiovascular Diagnosis: Innovations and Impact on Disease Screenings,"Amber Ahmad, Sahil Ahmad, Rida Ahmad, Jahnavi Bodi, Abdulla Mohamed, Ahmad Wasim",2025,Journal of Pharmacy & Bioallied Sciences,10.4103/jpbs.jpbs_557_25,https://www.semanticscholar.org/paper/3c18c2a6f44ef150fc9051a0f9724a0230231cc2,Semantic Scholar
A CNN based model for heart disease detection,"K. I. Chibueze, A. F. Didiugwu, N. G. Ezeji, N. V. Ugwu",2024,Scientia Africana,10.4314/sa.v23i3.38,https://www.semanticscholar.org/paper/9da622f9fa4cdaf7b7d014f967a534ac5b08a6dd,Semantic Scholar
"Artificial Intelligence in Nuclear Cardiac Imaging: Novel Advances, Emerging Techniques, and Recent Clinical Trials","Ilana S. Golub, Abhinav R Thummala, T. Morad, Jasmeet Dhaliwal, Francisco Elisarraras, Ronald P Karlsberg, Geoffrey W. Cho",2025,Journal of Clinical Medicine,10.3390/jcm14062095,https://www.semanticscholar.org/paper/ad5f9cc5b538c9b30df9ca0c29da1f45fbeed2c9,Semantic Scholar
Detection of Cardiovascular Diseases in ECG Images Using Machine Learning and Deep Learning Methods,"Mohammed Abubaker, Bilal Babayiğit",2023,IEEE Transactions on Artificial Intelligence,10.1109/TAI.2022.3159505,https://www.semanticscholar.org/paper/5d6fb99031fbd13d1218445081507942d51a964d,Semantic Scholar
